iter	Passed	Remaining
144	3079	13912
145	3103	13900
146	3122	13871
147	3141	13840
148	3161	13812
149	3182	13789
150	3204	13773
151	3224	13748
152	3245	13722
153	3267	13708
154	3288	13684
155	3309	13663
156	3329	13638
157	3356	13639
158	3374	13605
159	3394	13578
160	3413	13549
161	3439	13546
162	3464	13539
163	3484	13514
164	3509	13504
165	3528	13477
166	3546	13441
167	3571	13435
168	3593	13415
169	3613	13392
170	3632	13360
171	3650	13329
172	3671	13305
173	3689	13272
174	3710	13250
175	3728	13218
176	3750	13200
177	3777	13198
178	3795	13166
179	3812	13133
180	3832	13105
181	3850	13073
182	3871	13053
183	3891	13026
184	3909	12996
185	3934	12988
186	3955	12967
187	3977	12948
188	3996	12920
189	4017	12898
190	4037	12872
191	4058	12851
192	4077	12824
193	4097	12800
194	4120	12783
195	4138	12753
196	4165	12749
197	4186	12728
198	4204	12699
199	4227	12683
200	4247	12659
201	4268	12635
202	4289	12614
203	4308	12587
204	4329	12565
205	4346	12532
206	4364	12504
207	4384	12477
208	4407	12463
209	4429	12445
210	4448	12418
211	4473	12407
212	4492	12381
213	4512	12357
214	4537	12345
215	4561	12332
216	4585	12318
217	4604	12293
218	4626	12273
219	4643	12242
220	4677	12254
221	4695	12224
222	4714	12198
223	4737	12182
224	4760	12164
225	4786	12157
226	4803	12124
227	4826	12109
228	4846	12084
229	4866	12060
230	4887	12039
231	4904	12006
232	4927	11991
233	4948	11970
234	4970	11949
235	4992	11931
236	5011	11904
237	5033	11886
238	5052	11859
239	5070	11831
240	5090	11807
241	5108	11778
242	5134	11770
243	5153	11744
244	5173	11719
245	5193	11696
246	5221	11690
247	5239	11662
248	5264	11648
249	5284	11625
250	5306	11606
251	5323	11577
252	5346	11560
253	5364	11532
254	5385	11510
255	5404	11485
256	5425	11462
257	5443	11436
258	5462	11410
259	5484	11390
260	5504	11366
261	5529	11354
262	5548	11328
263	5564	11298
264	5583	11271
265	5605	11252
266	5624	11228
267	5644	11205
268	5670	11193
269	5687	11164
270	5708	11143
271	5727	11118
272	5746	11093
273	5764	11066
274	5782	11039
275	5812	11035
276	5834	11016
277	5858	11000
278	5875	10971
279	5896	10950
280	5919	10932
281	5940	10912
282	5960	10889
283	5983	10870
284	6003	10848
285	6029	10835
286	6050	10815
287	6075	10801
288	6096	10779
289	6123	10769
290	6146	10750
291	6167	10729
292	6187	10706
293	6206	10681
294	6225	10656
295	6246	10636
296	6269	10617
297	6296	10606
298	6314	10580
299	6333	10555
300	6358	10541
301	6376	10515
302	6399	10496
303	6418	10472
304	6441	10454
305	6461	10431
306	6478	10402
307	6501	10385
308	6521	10361
309	6546	10347
310	6565	10323
311	6595	10315
312	6612	10288
313	6635	10270
314	6656	10249
315	6677	10228
316	6696	10202
317	6717	10182
318	6737	10158
319	6757	10136
320	6778	10115
321	6805	10103
322	6826	10080
323	6854	10069
324	6875	10048
325	6903	10037
326	6925	10017
327	6946	9995
328	6969	9977
329	6987	9951
330	7007	9929
331	7032	9913
332	7055	9895
333	7072	9867
334	7095	9848
335	7115	9826
336	7133	9800
337	7161	9789
338	7182	9766
339	7207	9751
340	7226	9727
341	7245	9702
342	7266	9682
343	7288	9661
344	7307	9637
345	7326	9612
346	7347	9592
347	7365	9566
348	7384	9543
349	7407	9524
350	7428	9502
351	7449	9481
352	7472	9461
353	7494	9442
354	7511	9415
355	7547	9413
356	7568	9391
357	7588	9369
358	7607	9345
359	7629	9324
360	7651	9304
361	7670	9280
362	7688	9256
363	7716	9243
364	7736	9220
365	7755	9196
366	7773	9171
367	7806	9164
368	7828	9143
369	7852	9126
370	7875	9106
371	7899	9088
372	7919	9066
373	7938	9042
374	7966	9029
375	7986	9006
376	8014	8992
377	8038	8974
378	8059	8953
379	8084	8935
380	8103	8912
381	8122	8887
382	8141	8864
383	8160	8840
384	8187	8825
385	8205	8800
386	8233	8786
387	8252	8763
388	8272	8740
389	8298	8724
390	8320	8703
391	8338	8679
392	8359	8657
393	8381	8636
394	8403	8616
395	8422	8592
396	8459	8587
397	8479	8564
398	8501	8543
399	8526	8526
400	8545	8503
401	8572	8487
402	8593	8465
403	8622	8452
404	8641	8427
405	8667	8411
406	8692	8393
407	8713	8371
408	8735	8351
409	8754	8327
410	8781	8311
411	8800	8288
412	8824	8269
413	8845	8247
414	8866	8225
415	8889	8205
416	8913	8186
417	8935	8166
418	8957	8145
419	8975	8120
420	8998	8100
421	9016	8076
422	9037	8055
423	9058	8033
424	9085	8016
425	9106	7994
426	9125	7971
427	9145	7949
428	9170	7930
429	9193	7910
430	9215	7889
431	9236	7867
432	9255	7844
433	9277	7823
434	9299	7803
435	9318	7779
436	9343	7760
437	9366	7741
438	9384	7716
439	9406	7695
440	9425	7672
441	9445	7650
442	9464	7627
443	9486	7605
444	9503	7581
445	9526	7561
446	9547	7539
447	9566	7516
448	9589	7496
449	9612	7476
450	9637	7457
451	9657	7435
452	9682	7416
453	9703	7395
454	9722	7372
455	9742	7349
456	9761	7326
457	9783	7305
458	9812	7289
459	9833	7268
460	9851	7244
461	9872	7222
462	9899	7205
463	9921	7184
464	9942	7163
465	9965	7142
466	9983	7119
467	10002	7096
468	10023	7074
469	10042	7051
470	10068	7033
471	10090	7012
472	10112	6991
473	10134	6970
474	10161	6952
475	10179	6928
476	10199	6906
477	10209	6877
478	10233	6858
479	10256	6837
480	10282	6819
481	10300	6795
482	10319	6773
483	10339	6750
484	10359	6728
485	10375	6703
486	10406	6688
487	10426	6666
488	10451	6647
489	10471	6624
490	10492	6603
491	10512	6580
492	10532	6558
493	10556	6539
494	10574	6515
495	10601	6497
496	10623	6476
497	10649	6458
498	10673	6438
499	10699	6419
500	10722	6399
501	10740	6375
502	10764	6355
503	10783	6333
504	10802	6310
505	10825	6289
506	10844	6267
507	10866	6246
508	10884	6222
509	10912	6205
510	10929	6181
511	10949	6158
512	10968	6136
513	10986	6113
514	11007	6091
515	11024	6068
516	11044	6045
517	11062	6022
518	11081	5999
519	11101	5977
520	11120	5954
521	11153	5940
522	11172	5917
523	11191	5894
524	11209	5871
525	11228	5849
526	11252	5829
527	11273	5807
528	11293	5785
529	11314	5763
530	11334	5742
531	11362	5724
532	11384	5702
533	11404	5680
534	11424	5658
535	11446	5637
536	11468	5616
537	11487	5594
538	11507	5572
539	11532	5552
540	11569	5538
541	11590	5517
542	11616	5498
543	11635	5475
544	11653	5452
545	11675	5431
546	11696	5410
547	11715	5387
548	11744	5369
549	11762	5346
550	11781	5324
551	11801	5302
552	11824	5281
553	11843	5258
554	11863	5237
555	11882	5214
556	11902	5192
557	11921	5170
558	11940	5147
559	11961	5126
560	11979	5103
561	11999	5081
562	12022	5060
563	12047	5041
564	12068	5019
565	12091	4999
566	12111	4977
567	12140	4958
568	12161	4937
569	12181	4915
570	12201	4893
571	12219	4870
572	12249	4852
573	12266	4829
574	12294	4810
575	12315	4789
576	12332	4766
577	12357	4746
578	12379	4725
579	12407	4706
580	12428	4684
581	12451	4663
582	12472	4642
583	12492	4620
584	12511	4598
585	12534	4577
586	12555	4556
587	12578	4535
588	12598	4513
589	12622	4492
590	12651	4474
591	12673	4452
592	12692	4430
593	12715	4409
594	12744	4391
595	12767	4370
596	12794	4350
597	12812	4328
598	12834	4306
599	12854	4284
600	12881	4265
601	12902	4243
602	12920	4221
603	12940	4199
604	12962	4177
605	12984	4156
606	13001	4134
607	13022	4112
608	13042	4090
609	13064	4069
610	13087	4048
611	13112	4027
612	13129	4005
613	13161	3987
614	13179	3964
615	13197	3942
616	13221	3921
617	13242	3899
618	13259	3877
619	13281	3855
620	13301	3834
621	13325	3813
622	13336	3789
623	13354	3766
624	13376	3745
625	13394	3723
626	13419	3702
627	13447	3682
628	13470	3662
629	13493	3641
630	13516	3620
631	13534	3597
632	13553	3575
633	13575	3554
634	13597	3533
635	13618	3511
636	13638	3489
637	13666	3470
638	13684	3447
639	13706	3426
640	13724	3404
641	13753	3384
642	13775	3363
643	13797	3342
644	13817	3320
645	13839	3299
646	13857	3276
647	13875	3254
648	13906	3235
649	13924	3213
650	13956	3194
651	13975	3172
652	14002	3152
653	14020	3129
654	14041	3108
655	14060	3086
656	14080	3064
657	14099	3042
658	14117	3020
659	14138	2998
660	14161	2977
661	14185	2957
662	14206	2935
663	14223	2913
664	14256	2894
665	14281	2873
666	14307	2852
667	14329	2831
668	14357	2811
669	14376	2789
670	14396	2767
671	14417	2746
672	14437	2724
673	14457	2702
674	14478	2681
675	14500	2659
676	14521	2638
677	14543	2617
678	14561	2594
679	14579	2572
680	14604	2552
681	14624	2530
682	14649	2509
683	14667	2487
684	14693	2466
685	14714	2445
686	14741	2424
687	14759	2402
688	14782	2381
689	14799	2359
690	14820	2337
691	14840	2316
692	14862	2294
693	14885	2273
694	14909	2252
695	14931	2231
696	14951	2209
697	14975	2188
698	14996	2166
699	15014	2144
700	15047	2125
701	15064	2103
702	15093	2082
703	15118	2061
704	15136	2039
705	15155	2017
706	15175	1996
707	15192	1974
708	15218	1953
709	15239	1931
710	15266	1911
711	15289	1889
712	15311	1868
713	15334	1846
714	15359	1825
715	15381	1804
716	15400	1782
717	15424	1761
718	15445	1740
719	15466	1718
720	15486	1696
721	15504	1675
722	15526	1653
723	15547	1632
724	15564	1610
725	15589	1589
726	15612	1567
727	15630	1545
728	15651	1524
729	15668	1502
730	15692	1481
731	15712	1459
732	15743	1438
733	15765	1417
734	15786	1396
735	15804	1374
736	15828	1353
737	15846	1331
738	15866	1309
739	15887	1288
740	15910	1266
741	15931	1245
742	15951	1223
743	15974	1202
744	15994	1180
745	16017	1159
746	16047	1138
747	16065	1116
748	16092	1095
749	16111	1074
750	16140	1053
751	16165	1031
752	16185	1010
753	16205	988
754	16232	967
755	16254	946
756	16272	924
757	16290	902
758	16315	881
759	16337	859
760	16360	838
761	16389	817
762	16408	795
763	16426	774
764	16458	752
765	16475	731
766	16497	709
767	16517	688
768	16537	666
769	16557	645
770	16574	623
771	16598	602
772	16615	580
773	16641	559
774	16662	537
775	16679	515
776	16705	494
777	16728	473
778	16748	451
779	16775	430
780	16794	408
781	16815	387
782	16833	365
783	16851	343
784	16872	322
785	16896	300
786	16914	279
787	16936	257
788	16955	236
789	16977	214
790	16998	193
791	17024	171
792	17045	150
793	17074	129
794	17092	107
795	17114	86
796	17132	64
797	17152	42
798	17173	21
799	17194	0
