iter	MultiClass
294	0.6364735888
295	0.6353765983
296	0.6335288823
297	0.6323834958
298	0.6310884158
299	0.6301590155
300	0.6287540149
301	0.6278029717
302	0.6268530427
303	0.6257936034
304	0.624799897
305	0.6239360436
306	0.6232905725
307	0.6221770736
308	0.6213781564
309	0.6200624641
310	0.6186691142
311	0.6176701444
312	0.6164496575
313	0.6149964534
314	0.6137471943
315	0.6125708498
316	0.6112633054
317	0.6097683494
318	0.608787432
319	0.6076643836
320	0.6068757614
321	0.6054225624
322	0.6041796084
323	0.6030574006
324	0.6017743924
325	0.6009593131
326	0.6004588177
327	0.5990152744
328	0.5978534847
329	0.596860989
330	0.5957765242
331	0.5946870423
332	0.5934079472
333	0.5927883842
334	0.5916578283
335	0.5906802522
336	0.5894880628
337	0.5885696432
338	0.5874430956
339	0.5858940445
340	0.5848670751
341	0.583798327
342	0.5826270142
343	0.5818282368
344	0.5807766598
345	0.5796295082
346	0.5785702785
347	0.5771944061
348	0.576075168
349	0.5745560167
350	0.5735174723
351	0.5726646619
352	0.5713202139
353	0.5697892245
354	0.5690059134
355	0.5676293101
356	0.5666914367
357	0.5654004516
358	0.5643569917
359	0.5630563518
360	0.5623525418
361	0.5611810239
362	0.5599683162
363	0.5591042821
364	0.5583061438
365	0.5571904433
366	0.5564807272
367	0.5556269046
368	0.5547192556
369	0.5536609847
370	0.5524873274
371	0.5517492484
372	0.5510195914
373	0.5499889334
374	0.5490901991
375	0.5483657387
376	0.5471666194
377	0.5463381656
378	0.5454108738
379	0.5447069931
380	0.5435581615
381	0.5426803257
382	0.5414101569
383	0.540285533
384	0.5393698697
385	0.5385492658
386	0.5370935421
387	0.5364417616
388	0.5358516186
389	0.5350477755
390	0.5339164456
391	0.5328532722
392	0.5319259353
393	0.5311867293
394	0.5301851606
395	0.5295050182
396	0.5284353393
397	0.5276111074
398	0.5263922038
399	0.5251853294
400	0.5241020694
401	0.5230469476
402	0.5221801958
403	0.5212576865
404	0.5202448907
405	0.5195841566
406	0.5184471847
407	0.5173014263
408	0.5164194621
409	0.5157230514
410	0.5147739224
411	0.5139752147
412	0.5131490144
413	0.5122157576
414	0.5114103834
415	0.5105517851
416	0.5097394862
417	0.5088533833
418	0.5081594894
419	0.5073383085
420	0.506748814
421	0.5059355492
422	0.5046120547
423	0.5038056062
424	0.5026212154
425	0.5016450883
426	0.5010530213
427	0.4999521068
428	0.4989948949
429	0.498156267
430	0.4972870702
431	0.4964409189
432	0.4954066595
433	0.4945140774
434	0.4936262503
435	0.4928741291
436	0.4922703809
437	0.4913089499
438	0.4904688623
439	0.4898642173
440	0.4894031369
441	0.4880949762
442	0.4867823662
443	0.4859910224
444	0.4851258373
445	0.4840154772
446	0.483266547
447	0.4824083271
448	0.4814886519
449	0.4806349538
450	0.4798460927
451	0.4791925387
452	0.4784093755
453	0.477991801
454	0.4768453083
455	0.4761919355
456	0.475081329
457	0.4742976248
458	0.473476044
459	0.4727575862
460	0.4719344065
461	0.4710922643
462	0.4705848928
463	0.4695763313
464	0.4689988684
465	0.4682951982
466	0.467517637
467	0.4668815185
468	0.4657617767
469	0.4650257027
470	0.4645609069
471	0.4638500243
472	0.463070909
473	0.4619561655
474	0.4611240264
475	0.4602556107
476	0.45963074
477	0.4585337305
478	0.4578545125
479	0.4572552554
480	0.456314906
481	0.4555788639
482	0.4547247508
483	0.4536098546
484	0.45273706
485	0.4520433117
486	0.4511893667
487	0.4504119889
488	0.4496497044
489	0.4491998921
490	0.4484943158
491	0.4478103646
492	0.4472688816
493	0.4462244283
494	0.4454824549
495	0.4447176526
496	0.4441813709
497	0.4435735427
498	0.4427911438
499	0.442006449
500	0.4416754701
501	0.4407224088
502	0.4398235574
503	0.4390839473
504	0.4383399193
505	0.4374609275
506	0.4367223467
507	0.4361330592
508	0.4355081862
509	0.4348625945
510	0.4339565952
511	0.433067571
512	0.4324535821
513	0.4316391188
514	0.4308454397
515	0.4300346781
516	0.4294638466
517	0.4288446233
518	0.4279457217
519	0.4273220259
520	0.4266691018
521	0.426179914
522	0.4257082013
523	0.4249894981
524	0.4244834386
525	0.4238505466
526	0.4228824535
527	0.4221917853
528	0.4215259995
529	0.420638812
530	0.4199619732
531	0.4193879393
532	0.4183795771
533	0.4178374487
534	0.4174000305
535	0.4166888242
536	0.4161806754
537	0.4158552361
538	0.4152486412
539	0.4147698408
540	0.4141887056
541	0.4136631769
542	0.412728777
543	0.4118046613
544	0.4109283778
545	0.4104553792
546	0.4094927874
547	0.4087667548
548	0.4082450363
549	0.4077052902
550	0.4068563949
551	0.4062688826
552	0.4055266137
553	0.4047633006
554	0.40428807
555	0.4038855263
556	0.4031981815
557	0.4028218163
558	0.4019680415
559	0.4010608252
560	0.4003168812
561	0.3997694109
562	0.3991007427
563	0.3982923065
564	0.3978885888
565	0.3970207009
566	0.3962920837
567	0.3959548421
568	0.3952315954
569	0.3948395309
570	0.3943633363
571	0.3937526342
572	0.3932244182
573	0.3927458803
574	0.3918708679
575	0.3911060611
576	0.3903760024
577	0.3894679912
578	0.388983381
579	0.3885111908
580	0.3878612938
581	0.3874621582
582	0.3869838512
583	0.386538321
584	0.3859235061
585	0.3852376275
586	0.3846960526
587	0.3842159036
588	0.3835775258
589	0.3833241988
590	0.382705354
591	0.3820364659
592	0.3815146058
593	0.3810257138
594	0.380516893
595	0.380037115
596	0.3795793666
597	0.3789189618
598	0.3780895668
599	0.3776537293
600	0.3770650267
601	0.3762584521
602	0.3754584669
603	0.3748049167
604	0.3743231266
605	0.373735581
606	0.3731796884
607	0.3727561072
608	0.3720511963
609	0.3716934457
610	0.3710839412
611	0.3705003657
612	0.3700776216
613	0.3694498658
614	0.3688202245
615	0.3681422415
616	0.3677249256
617	0.3671433509
618	0.3665774683
619	0.3659146858
620	0.365301536
621	0.3647556955
622	0.3639036824
623	0.3631457475
624	0.3625706246
625	0.3620104279
626	0.3613360798
627	0.3605588471
628	0.360162962
629	0.3595606064
630	0.3589311142
631	0.3583564005
632	0.3579906796
633	0.3574028502
634	0.3569805419
635	0.3564346761
636	0.3560031097
637	0.3554865651
638	0.3551383664
639	0.3546449638
640	0.3542712097
641	0.3537956077
642	0.3532773956
643	0.3526360339
644	0.3520789541
645	0.3515699091
646	0.3510469781
647	0.3506848396
648	0.3502451045
649	0.349546781
650	0.3489225116
651	0.3484198971
652	0.3476671307
653	0.3472358412
654	0.34685016
655	0.3463935998
656	0.3459354056
657	0.3454733454
658	0.3449024114
659	0.3443653269
660	0.3440462224
661	0.3434114388
662	0.3430969665
663	0.3425737162
664	0.3420023242
665	0.3415722088
666	0.3411328979
667	0.3405446667
668	0.3399452966
669	0.3395530393
670	0.3389067089
671	0.3383849268
672	0.3379911475
673	0.3377446012
674	0.3373211547
675	0.3367989752
676	0.3363803632
677	0.3359415594
678	0.3353645615
679	0.3349528285
680	0.3345548557
681	0.3340553526
682	0.3336448205
683	0.3332729869
684	0.332850884
685	0.3323011802
686	0.3319745782
687	0.3313773181
688	0.3308778658
689	0.3305341077
690	0.3300984328
691	0.3296745346
692	0.329426896
693	0.329112541
694	0.3287413869
695	0.3282767568
696	0.3277043397
697	0.3270397789
698	0.3266354546
699	0.326329424
700	0.3259014419
701	0.3253741413
702	0.3250960884
703	0.3247519469
704	0.3243802549
705	0.3240439498
706	0.3235309447
707	0.323138782
708	0.3226091771
709	0.3222661195
710	0.3214762047
711	0.321009384
712	0.3205422362
713	0.3199938577
714	0.3196921141
715	0.3192331827
716	0.3187154253
717	0.3183628712
718	0.3177682273
719	0.3174548022
720	0.3169253924
721	0.3163111957
722	0.3156906227
723	0.3153456541
724	0.3149473065
725	0.3144201969
726	0.3137598482
727	0.3133354033
728	0.3129227058
729	0.3125159887
730	0.3120193378
731	0.3115102658
732	0.3110089833
733	0.3107285063
734	0.3102041161
735	0.3096884073
736	0.3091577556
737	0.3088027148
738	0.3083552097
739	0.307893419
740	0.307470791
741	0.3070439844
742	0.3065648939
743	0.3059976932
744	0.3054650772
745	0.3050223804
746	0.3046020331
747	0.3041053898
748	0.3036292408
749	0.30311031
750	0.3026921514
751	0.3020173344
752	0.3014907029
753	0.3010432972
754	0.3006208131
755	0.3001805719
756	0.2997174248
757	0.2992790321
758	0.2988567099
759	0.2984767878
760	0.2979657482
761	0.2974755898
762	0.2968272981
763	0.2964419447
764	0.2960490258
765	0.2957090507
766	0.2953035891
767	0.2950189734
768	0.2945490376
769	0.2940384459
770	0.2937376655
771	0.2933327125
772	0.292896876
773	0.2924579336
774	0.2920042234
775	0.2916320848
776	0.291294247
777	0.2910303811
778	0.2905973041
779	0.289994148
780	0.2893633324
781	0.2889100835
782	0.2886370301
783	0.2882304127
784	0.2878640062
785	0.2874186019
786	0.2869880041
787	0.2865872008
788	0.2862584694
789	0.2858161387
790	0.2854037578
791	0.2849713628
792	0.2846416666
793	0.2842830873
794	0.2839985078
795	0.2835465405
796	0.2830489342
797	0.2826720652
798	0.2821923803
799	0.2818294017
